Topic,Count,Name,Representation,Representative_Docs
-1,3558,-1_hair_wax_tangled_skin,"['hair', 'wax', 'tangled', 'skin', 'dried', 'dry', 'try', 'reviews', 'horrible', 'products']","[""After reading the reviews on this hair, I was extremely excited to get mine put in. My hairdresser even commented on how pretty it was and how easy it was to install.  That is far as the positives about this hair goes.<br /><br />I had the hair installed on Wednesday night. By Friday, I am ready to take it out and start over with something else<br /> While very pretty, it tangles so bad at the ends. It isn't twisted all the way to the end of the hair, so the ends get frizzy and tangle together.<br /><br />If I buy hair online ever again, it won't be this hair from this company.<br /><br />UPDATE: I took these twists out after 2 weeks. I had to cut it daily so it didn't look matter. This hair is everything the description says that it isn't.<br /><br />Buy at your own risk."", ""I don't see what this product do !!!"", ""I held off reviewing the Plum Smooth Sweet Plum soft wax for a few months till I got used to it and I have to say I DON'T LIKE it one bit and won't buy it again.<br /><br />I went to school for Aesthetics and I've been waxing myself and friends for at least 3 yrs now, this is the second wax I have bought and didn't like, sadly this is much more $$ then the other.  I thought since it was a bit more $$ that it would be good, yeah not so.  I've waxed my underarms a few times with this wax and each time I end up with painful underarms that are RED and painful, and it takes at least 3 days for this to go away, again I've waxed with a few other waxes and only a soy wax did I have an adverse reaction to.<br /><br />The first time I used this wax I didn't have good results with it taking all the hair off, so I went over the area a second time with the wax, I realize you shouldn't go over the area a second time with wax but it wasn't catching the hair, I thought well that's why this happened, but I made sure NOT to do that again, but same thing happened and I did it again (hard to just toss wax that's $$) this time and it happened again, I did NOT reapply after the first application, but I used what was on the wax strip to try and pick up the left on the skin hair, I've done this with other waxes and NEVER has it left my under arms this way - that is non except a soy wax which I'll never touch again either.<br /><br />If you don't mind the price, the try it maybe you'll have a different reaction/results then me, but I found this not the greatest at taking hold of the hair (underarms, legs, back and bikini area) - I tried on high heat and low heat and each time I didn't have good results using this wax, OH and I did one other's under arms and yeah, she had a similar reaction to the wax as I.  I would say use with caution, everyone reacts differently, but if I don't like how it works on me then I won't use it on anyone else.... Still on the hunt for a wax I love...""]"
0,527,0_quality_worth_shape_bottle,"['quality', 'worth', 'shape', 'bottle', 'bad', 'dry', 'product', 'peeled', 'bottles', 'buy']","['This nail polish was awFul when I put the two coat I apply the top coat it smeared where you can see the nail line and the nail polish start separating not all happy with this nail polish line I was looking forward to this nail line I am deeply disappointed how they turn out and one the bottle I got the brush was broken I wrote the seller I never heard nothing back from them so I will not be pay this product again', 'Does nothing for my nails!', ""doesn't' last on nails""]"
1,514,1_bristles soft_bristles_bristle_brush,"['bristles soft', 'bristles', 'bristle', 'brush', 'scalp', 'hair brush', 'toothpaste', 'soft', 'brush head', 'gums']","[""Do not even waste your money or time buying these brushes because they are the WORST!!!<br /><br />First off, these brushes were very rough and scratchy, and that was after testing them only on our hands. (I do not even want to imagine trying these on your face!!)<br /><br />Second, the bristles on the brushes were not even same length. If you were to hold the brushes together they would all be the same length height wise; but if you were to look closely at the brush part itself you will notice that they are all different lengths. Some brushes would have more of the brush part while others had more metal part than brush.<br /><br />Lastly, they had a HORRIBLE chemical smell. I'm an esthetician a holistic medispa, and we could not do these brushes for work at all!!  We cleaned them multiple times, soak them in cleanser, and we even soak them in barbicide. That STILL did not get out the strong chemical smell that the brushes had!!"", ""There are two reasons for my 2 star review. First, the brush itself is too firm. It is not at all soft. The ADA recommends brushing with a soft toothbrush. I assume they manufactured it this way to make up for my second reason. Second, the brush head has had the center bristles removed to add the gimmicky rubber channels meant to direct the water/toothpaste between teeth. While I do feel it moving the toothpaste toward my teeth when I brush, I would much rather have bristles in contact with the tooth surface. Afterall, the idea of brushing your teeth is to physically brush away the build up of plaque and tartar. Without the normal number of bristles, I don't feel I get the same results."", 'I bought this brush for my son and he says the bristles keep falling out of the brush.']"
2,344,2_product_ordered_ugly_came,"['product', 'ordered', 'ugly', 'came', 'pigmented', 'pictured', 'colors received', 'light', 'look like', 'looks']","['I wish it was a true brown color NOT Auburn/Red. Do you have a darker color?', 'Very dark brown. Definitely not a light brown. Has a red tint to it and very dark. Wont match hair at all.', 'One missing color. Where is the redish brown color?']"
3,278,3_hair_hairline_bald_wig like,"['hair', 'hairline', 'bald', 'wig like', 'wig', 'hairs', 'like wig', 'disappointed wig', 'wig got', 'money wig']","['I just want to start by saying that I have been ordering wigs from Amazon for about 5 years and I have NEVER been more disappointed in a wig in all of this time! The wig that I received is NOTHING like the wig that is advertised! Everything from the cap construction to the length of the hair itself was completely different. The first thing it says in the description is ""13X6"", but my wig has a 4X6 14"" closure. I have very limited parting space and the top is so much shorter than the rest of the wig. I ordered 22 inches, the wig arrived about 18-20 inches and shrank to 16 inches when curled. the ends of the hair are incredibly thin. Another feature listed in the description is ""Transparent Lace Pre Plucked"". I received ashy beige lace that I then had to tint because it did not blend with my skin the way actual transparent lace does. also the 14 inch 4x6 closure was slightly plucked but rest of the hairline was blunt and untouched. I\'m positive that even if the creator of this wig wanted to pluck the rest of the hairline, they could not because there are tracks location close to the hairline where lace would typically be on an actual 13x6 wig. I had to cut layers in order to blend the short closure in with the rest of the hair. I have no idea where they found the pictures that they use for this wig because it is nothing like what you see pictured. I have never been more disappointed in a human  hair wig that I have ordered from Amazon!<br /><br />I will be updating this review with pictures of everything that I have described.', ""Not sure if there are differences in wig standards with these reviews or if we're all reviewing different wigs but the wig I purchased (20 inch, 360 lace, dark brown color, human hair) is not much like the wig that is pictured. I think the only thing they got right was the length. The description on the wig notes that it is indeed the wig I bought but the pictures on Amazon that showcase the wig are false advertising.<br /><br />In short -- THE BAD:<br />- LACE: Lace is MUCH darker than what is pictured -- when you put it on, it looks like a hair hat. Not many of us have a scalp that dark.<br />- PART: There is NO part (middle, side, etc). Are we supposed to do this part ourselves? If so -- make a note of it.<br />- THICKNESS: The wig is about 6x thicker than what is pictured so it looks fake. It's super heavy and if you put it up in a ponytail, good luck finding a hair tie that can go around it at least once.<br />- QUALITY: I think it's a mixture of real and synthetic hairs. Upon closer inspection the hair type varies. I did spot quite a few split ends but the thickness of each hair strand isn't consistent which tells me they mixed fibers.<br />- LACE INTEGRITY: The lace curls up so be prepared to glue it down in case you plan on not returning this wig. I don't think it can be worn glue-less.<br />- KNOTS: They say they bleached the knots... but they didn't. The front part literally looks like connect the dots on graph paper.<br />- COLOR: Wig is a mixture of black and dark brown hairs... def. not just dark brown. So, it's much darker than you'd expect it to be per the photos and the description.<br />- WIG CAP SIZE: I own about 20 wigs. This is the only one that swam on my head (I have a medium sized head). The cap is way too large for me and using the bands will make the outer cap edges curl.<br />- SCALP CAP: Wearing a cap underneath (black or beige) will show. You can literally see the outline of where it ends on your scalp  which is interesting since the lace is so dark.<br />- CURL: To test if it can curl, I tried it with both a curling iron and natural curlers. Nothing happened (which is further proof to me that they mixed synthetic fibers within the wig).<br /><br />The Good:<br />- The baby hairs look decent (although the super visible knots take away from the job they did here).<br /><br />Maybe if you take it to a salon to get it treated (fade color of lace, bleach the knots, thin the wig out, color correct, high-end band sewing) -- you might make it work. BUT -- how much will that run you up for? I don't think this wig is worth $25... much less the $180 currently advertised. FAKE!<br /><br />Will upload photos soon."", 'Very thin wig']"
4,193,4_hairs_smooth_bad_refund br,"['hairs', 'smooth', 'bad', 'refund br', 'irritation', 'good shave', 'told', 'shaver', 'foil', 'shaving']","['For two decades I have fought an uphill battle with a downhill class of products, and I\'m throwing in the towel. I\'ve abandoned this electric razor and gone back to a real razor (a basic Gillette Mach 3).<br /><br />I switched to a multi-headed electric razor over 20 years ago. ""Stick with it for 30 days"" the instructions implored. Yes, it got better, but never equalled my old 2-blade razor. The convenience suckered me in, and the habit was set. I meticulously cleaned and maintained my electric razors, but never attained a clean shave.<br /><br />But I stuck with it. Replaced the heads, and that worked for a while, but then same old same old. New electric razors seem to get worse. A little Phillips Philishave 30 worked pretty well (2 heads, *battery* powered), but not great.<br /><br />When this Arcitec came on board, I said ""this is it!"" Pricey, but there can be no better, right? Of all the electric razors I have used, I must say that this is the worst. The cleaning system works to a point, but there are inevitably hairs that get lodged in the razor head. And the razor head is effectively *NOT CLEANABLE* except by painstaking surgery to extract lodged hairs.<br /><br />And the shave? OK, this is not a scientific double-blinded study, but I do honestly believe that this razor provided me with the worst shave of all electric razors I have owned. It got me to jump ship and try a middle-of-the-road Gillette Mach 3. The result ...<br /><br />HEAVEN! Blades have gotten SO much better since 20 years ago. Super clean shave, no nics, no problems, no irritation ... why did I wait so long??', 'Sent the blades back, as the shave with the new shaver head blades was worse than what I have already on my well used shaver.', ""I read with interest, the most favorable review for this shaver. This person mentioned that this is their first electric shaver after a lifetime of using blades. I guess if that is the case, the reviewer doesn't have much to compare this product with. Having had previous Norelco models as well as a Remington and a couple Brauns... I have a bit more actual experience with competing products.<br /><br />A few years back, we bought a second home. We decided to stock our vacation home with everything needed so that we would not have to carry luggage and we could just head to an airport and go. I had used Norelco shavers for a number of years. About 10 years ago, my wife bought me a Braun 7 series shaver. What a difference. It gave me a much smoother and closer shave with less chafing and discomfort. I wasn't and still am not impressed with the so-called cleaning system that Bruan has designed. But the shaver itself was terrific. About 2 years ago, the battery in my beloved Braun started to fail. So I bought a new 790CC Braun Shaver. This one was even better than the first. So as we gathered things to take to our second home, I asked my wife to pick up another Braun shaver. The 790CC is not an inexpensive product. So my thrifty wife, knowing I had used Norelcos in the past, picked up the Arcitec shaver on sale.<br /><br />What a disappointment! To be honest, I can't find anything that is a distinct positive about this product. Let me organize my thoughts just a bit...<br /><br />1. Size - The shaver head is just too big. It is hard to maneuver in tight areas such as at the upper lip and nose. Requires using the trimmer to get acceptably close.<br />2. Performance - I do not have a heavy beard. I find that 24 hours of growth is the limit for this shaver. If your facial hair is allowed to grow for any longer than that, the shaver will not cut it. If you have a heavy beard, this shaver simply wont do the job.<br />3. Cleaning - The heads clog very quickly. Once they do, the shaver will not cut at all. The Braun by comparison, can usually go a week before cleaning.<br />4. Trimmer - As others have said... Small and in an awkward position. It's foolish to suggest that the shaver head should be removed to facilitate trimming. Better to suggest that the Phillips/Norelco engineers should take a crack at a better design.<br /><br />I have used this shaver intermittently for the last two years. My older Norelcos were far better than this one. So that being said, I finally decided enough is enough and ordered another Braun from Amazon.""]"
5,184,5_brand worked_received defective_product_product worked,"['brand worked', 'received defective', 'product', 'product worked', 'contact', 'replacement', 'problem', 'worked', 'did work', 'discovered']","['I bought a white one for me and a black one for my husband and both have stopped working after about a month of having them. I had recently charged it and it was working after the charge for a few days and then today it just stopped all together. My husband had the same issue with the black one as well. Will be getting a replacement for mine to try and will update review if that one works passed a month.', ""So to use this, you plug the mouth piece into a battery. The battery on my 1st purchase didn't turn on after hours of charging. So they replaced it. The 2nd one worked at first. Then I put it in storage for a few months, and when I took it back out to use it again, the battery won't work. It's the same problem, it's been on the charger for hours, and it won't turn on. Don't waste your money"", 'It wouldn’t turn off after installing batteries; the power button was broken.  After five minutes, it stopped working all together.  Don’t waste your money- junk!']"
6,181,6_horrible product_perfume_peel_horrible,"['horrible product', 'perfume', 'peel', 'horrible', 'aroma', 'vapor', 'frizz', 'tan', 'sexy', 'saliva']","['La peluca se ve bella, me encantó el largo y los risos del cabello además los colores son hermosos, pero cuándo voy a comprar o usar una peluca tomo en cuenta varias cosas y esta peluca no cumple con ninguno de los requisitos. Esta peluca parece peluca, que quiero decir? Bueno la banda del centro es demasiado ancha se puede notar claramente el grosor de la peluca con la división de la frente y se ve feo, otra cosa que no me gusta es que si peinas o mueves el cabello se ven claramente las bandas y los huecos sin cabello, es decir tiene muy poco cabello. Otra cosa que no me gusta es que la peluca suelta demasiado cabello no puedes pasar los dedos o peinar con cepillo porqué se salen los cabellos de la peluca. Desafortunadamente no la recomiendo.', 'Lo encargué en septiembre , solo lo use en octubre y ya dejo de funcionar al intentar usarla nuevamente.<br />Además el soporte se desprende todo el tiempo .<br />Pésima inversión. Se supone que debería durar más de 1 mes !! .<br />Ojalá el vendedor se contacte conmigo .<br />Muy molesto con esta compra .', 'No lo compre por Amazon, fui directo a la tienda en un centro comercial de Illinois.<br />Soy mujer de 56 años, buena piel, gracias a buenos genes, sin embargo no significa que no deba cuidarme, si lo hago. Quise probar la linea de esta marca, compre la crema de Dia, de Noche y el Facial Peel Microdermabracion.<br />Lo bueno: excelente presentación, no causa alergia, un aroma muy sutil, casi imperseptible, buena textura.<br />Lo malo: requiere profundizar en la investigación, realmente no nutre ni hidrata, se siente muy reseca una vez aplicada, principalmente la crema de dia, debo complementarlo con otra crema o un aceite hidratante, y el Peel microdermabracion no hace absolutamente nada, es un gel que no funciona. Ya tengo poco mas de un mes usandolo y la verdad, estoy pensando en descartarlo y comprarme otras cremas de las que ya conozco. Lastima que no retornan el dinero. No voy a decirle a nadie que debe hacer, si quieren comprarlo, haganlo y experimenten, pero estoy 100% segura que perderan el dinero, mi hija tambien lo compro y me dijo exactamente lo mismo. Considero que desperdicie mucho dinero por unos productos que solo son bonitos. Por favor, profundicen en la investigacion del producto. Suerte']"
7,160,7_headband_headbands_headbands nice_child head,"['headband', 'headbands', 'headbands nice', 'child head', 'head bands', 'head band', 'fit head', 'small head', 'hat', 'adult head']","[""I didn't like this style. The headbands were made will a cheap polyester fabric and they were basically one style in different colors. I would have given it one star but some of the colors were pretty and the headbands not as wide as the picture. I like to wear headbands with my headband wigs.i wear different colors to match my outfits and the extra headbands help the wig to stay on better. Wont buy this again and the back part of the headband is kind of strange and prefer the headbands to be the same size all away round."", 'Product was too tight for my head, not that I have a big head, it was smaller than the norm.', 'The bottom of the headband is too tight!']"
8,149,8_box fine_didnt long_damaged_used broken,"['box fine', 'didnt long', 'damaged', 'used broken', 'received broke', 'received broken', 'damage', 'product arrived', 'came damaged', 'broken']","['Broken', 'Broken!', 'Its broken already,']"
