rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,review_length,emotion,topic
1,Too small and itchy,These bands were extremely tight. They were also very itchy.  Maybe they'd work for kids with small heads.,[],B07RB731BV,B07RB731BV,AEUDZCVKRC5UWTS3UNUCBVESAUBA,2019-07-28 07:55:25.395,3,True,18,sadness,7
1,but I am disappointed,"I brushed my hair once with this brush and the bristles immediately started falling out. I have other brushes from this company that did not have this issue. Not sure why this is happening now, but I am disappointed",[],B00MZT4UEG,B00MZT4UEG,AHMNGTKH6Z4HGP4H7IUHAUU3CJOA,2018-05-15 20:39:31.746,0,True,39,sadness,1
1,Resembles Dollar store hairbrush,"The handle is  unfinished,  the bristles are short, it’s unattractive, I felt misled by the photo. I certainly do not recommend this product.",[],B00R1TAN7I,B00R1TAN7I,AG4BLJXF4SZNNIBWFDZCWXULDIEQ,2020-12-30 19:22:38.575,0,False,23,sadness,1
1,Broke,"This pencil mechanic is broken.  Can’t get the lip pencil to move up at all.  Used it 2 times with what was already out, and now can’t get any more out.  Total waste and assume can’t return since I swiped it on my lips.",[],B0961VRM8G,B0961VRM8G,AGBZUAFBA7OQRTMEE6YVD52KGUTQ,2022-09-25 01:09:46.040,0,True,44,sadness,1
1,Don't last,They come off just touching them. Pretty dissatisfied,[],B07WSQFV17,B07WSQFV17,AGKJI4QUQFEOXJ6AGXSH775EDMIA,2020-09-07 23:29:07.053,0,True,8,anger,153
1,Hair very very very thin,"Quick delivery, no smell, shedds a little, very thin and not true to length don’t waste money",[],B094XXL5FC,B094XXL5FC,AHRLNXWUHHNVBLUZLSWYAOR6CDVQ,2022-03-09 18:07:27.046,0,True,17,neutral,143
1,Disappointed,Worth 3 not $49,[],B015GJJXZC,B015GJJXZC,AFH5C65AXY4PKTXOW3YNXCMET5JQ,2020-12-23 13:12:56.840,0,True,4,neutral,127
1,Don't buy,Don't buy I jest use this product immediately I dislike the I had a hard time getting it out the bottle and whenever I finally did get it out the bottle I put it on my hair it wasn't thick like function beauty it made my hair fall out it smells great but I would never ever use this product it sucks and it's hard to get off the bottle and I'm in my hair fall out,[],B08JX7SCVT,B08JX7SCVT,AHCHJOSVHVE5PNDCPTW4XU7MM63A,2021-08-20 01:54:52.718,0,True,77,disgust,-1
1,You get what you pay for. Wouldn’t recommend,"I honestly wanted to give this hair a better review. But this hair is terrible. It tangles easily. It sheds so much and it’s so thin. I wore it at a boat party and all I saw was hundreds of strands of hair on the floor ( so embarrassing). Upon installing it, every comb thru had so much hair in it. Other than that it is soft and pretty when it is straightened.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/710qEO5NO5L._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/710qEO5NO5L._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/710qEO5NO5L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81e-9ZkCdnL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81e-9ZkCdnL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81e-9ZkCdnL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08FFVT6F8,B08FFVT6F8,AEGZMBU4JMM4DPTVVHTTMI3W34MA,2020-11-30 16:57:25.817,10,True,73,disgust,-1
1,What did Armands do to these?  They used to be great!,"I have bought these for many years and found them to be indespensible. That said, my latest order was different. They have changed the plastic to somthing much softer.  The thin ends of the pics now tend to bend and crumple rather than get in there and get you want out.  I am very dissapointed. Sadly I bought the 24 box set, so I have a way to go until they are gone.  I will try the green ones next and hope they are the same old harder plastic.",[],B007VDZ3GU,B007VDZ3GU,AH4DT3GAW3OHP3RVO64GMHZVIY4A,2013-04-06 00:38:09.000,4,False,89,sadness,41
1,Does not smell like musk,This stinks<br />Does NOT smell anything like musk!!!,[],B07F3RH7DD,B07F3RH7DD,AFZYPARY7SAB6IMYIHC4F2TET45A,2020-06-12 01:54:02.861,0,True,8,disgust,-1
